nosym
-28	28	29
-6	6	7
-150	100	126
-0.00231212	-0.244171	-0.00286794	
-0.00231644	-0.214456	-0.00220595	
-0.00242935	-0.189077	-0.00206689	
-0.0024721	-0.167085	-0.00156057	
-0.00253986	-0.147985	-0.00126302	
-0.002678	-0.131309	-0.000803258	
-0.00260235	-0.116951	-0.000392979	
-0.0026505	-0.104195	8.5228e-05	
-0.00268751	-0.0930517	0.000395487	
-0.00270231	-0.0832742	0.000780871	
-0.00267604	-0.0746537	0.00113276	
-0.00260317	-0.0670015	0.00143699	
-0.0026058	-0.060298	0.00174307	
-0.00258872	-0.0543395	0.00201352	
-0.00250723	-0.049042	0.00225318	
-0.00250078	-0.0443627	0.00242737	
-0.00243037	-0.0401272	0.00262745	
-0.00235571	-0.036413	0.00279459	
-0.00230051	-0.033082	0.00292097	
-0.0022441	-0.0300943	0.00300926	
-0.00216437	-0.0274212	0.00311584	
-0.00210924	-0.0250395	0.00318215	
-0.00202598	-0.0228818	0.00320119	
-0.00197119	-0.0209356	0.00322856	
-0.00189689	-0.0191983	0.00324815	
-0.00182999	-0.0176227	0.00322496	
-0.00176302	-0.0161954	0.00322022	
-0.00169641	-0.0149039	0.00318254	
-0.00161556	-0.013734	0.0031379	
-0.00156073	-0.0126398	0.0030796	
-0.00147336	-0.0116789	0.00308194	
-0.00144302	-0.0108143	0.00296089	
-0.00138001	-0.0100129	0.00292961	
-0.000466828	-0.00193215	-0.00142658	
-0.000498426	-0.00204477	-0.00149429	
-0.00053139	-0.00216653	-0.00154536	
-0.00055222	-0.00230015	-0.00159649	
-0.000581958	-0.00244704	-0.00167638	
-0.000601154	-0.00259157	-0.00174135	
-0.000625657	-0.00275498	-0.00178832	
-0.000650173	-0.00293246	-0.00182616	
-0.000655001	-0.00312022	-0.00185828	
-0.000685227	-0.00332261	-0.00197337	
-0.000726409	-0.0035693	-0.00211144	
-0.000780034	-0.00379885	-0.00217859	
-0.000819545	-0.00402578	-0.00224563	
-0.000857417	-0.004288	-0.00231551	
-0.000899027	-0.00459442	-0.00241231	
-0.00095108	-0.00489984	-0.00254651	
-0.00102318	-0.00525744	-0.00261107	
-0.00106315	-0.00562236	-0.00269078	
-0.0010938	-0.00600517	-0.00278847	
-0.00115742	-0.00647007	-0.00293432	
-0.00119631	-0.00692486	-0.00302229	
-0.00125426	-0.00742997	-0.00313278	
-0.00132099	-0.00798859	-0.00327181	
-0.00138017	-0.00859154	-0.00337844	
-0.00144152	-0.00928163	-0.00349306	
-0.0015092	-0.010005	-0.00366918	
-0.00158633	-0.0108165	-0.00376411	
-0.00164727	-0.0116907	-0.00393623	
-0.00172722	-0.0126437	-0.00406264	
-0.00181285	-0.0136948	-0.00421011	
-0.00189471	-0.0148533	-0.00435459	
-0.00201115	-0.016143	-0.00451774	
-0.00210099	-0.0175509	-0.00467287	
-0.00220305	-0.0191352	-0.00484979	
-0.00227941	-0.0208555	-0.00500246	
-0.00238888	-0.0227712	-0.00517458	
-0.00250826	-0.0248538	-0.00536956	
-0.0026057	-0.0272578	-0.00556746	
-0.00273032	-0.0299181	-0.00577023	
-0.00285607	-0.0328681	-0.00599751	
-0.00296236	-0.036142	-0.00621897	
-0.00309633	-0.0397486	-0.00646236	
-0.00321804	-0.0439026	-0.00677757	
-0.00334132	-0.0484906	-0.00714978	
-0.00349863	-0.0536627	-0.00749196	
-0.00365199	-0.0595942	-0.00797617	
-0.00374623	-0.0661477	-0.00846901	
-0.00392319	-0.0735637	-0.00905702	
-0.00409299	-0.0820059	-0.0098026	
-0.00424582	-0.0913991	-0.010621	
-0.00447868	-0.102263	-0.0115845	
-0.00461325	-0.114432	-0.0128621	
-0.00483557	-0.128473	-0.0143082	
-0.00496271	-0.1445	-0.016177	
-0.00530038	-0.162923	-0.0183279	
-0.00545934	-0.184226	-0.021029	
-0.00559123	-0.208492	-0.0243299	
-0.00592316	-0.236646	-0.0277548	
-0.0061268	-0.269957	-0.0333042	
-0.00667294	-0.308061	-0.0388172	
-0.00661768	-0.353011	-0.0463212	
-0.005945	-0.4061	-0.0551004	
-0.00529336	-0.470512	-0.0669058	
5.07485e-05	-0.547526	-0.0797621	
0.00625288	-0.635325	-0.0908465	
0.0104784	-0.734461	-0.0997638	
0.0102423	-0.84116	-0.107237	
0.0106914	-0.956616	-0.111564	
0.00993043	-1.07557	-0.107834	
0.00813287	-1.18158	-0.0918466	
0.00581681	-1.26576	-0.0659693	
0.00351509	-1.31989	-0.04187	
0.00213798	-1.35085	-0.0236146	
0.00118906	-1.36719	-0.0119653	
0.000944756	-1.37462	-0.00490529	
0.000649393	-1.37668	0.000217083	
0.000835413	-1.37414	0.00561043	
0.000949801	-1.36552	0.0130655	
0.00193899	-1.34782	0.0256938	
0.00336745	-1.3147	0.0445364	
0.00486407	-1.25562	0.0694389	
0.00712421	-1.17025	0.0934662	
0.00943953	-1.06244	0.106661	
0.00992102	-0.948532	0.108682	
0.0115899	-0.837235	0.101992	
0.0109181	-0.735546	0.0924428	
0.0108488	-0.644744	0.082977	
0.00898556	-0.562095	0.0750231	
0.00561403	-0.487737	0.066282	
0.00135966	-0.423159	0.0589282	
-0.00415406	-0.365586	0.0499771	
-0.00621533	-0.317343	0.0418953	
-0.00597846	-0.276765	0.0344769	
-0.00594646	-0.242513	0.0292955	
-0.00566429	-0.213292	0.0248268	
-0.00557674	-0.187982	0.0215408	
-0.00527672	-0.166256	0.018791	
-0.00500051	-0.14747	0.0165962	
-0.00493541	-0.131096	0.0146398	
-0.00460344	-0.116592	0.0130898	
-0.00443838	-0.104098	0.01188	
-0.0043268	-0.0930029	0.010757	
-0.00407256	-0.0832725	0.00997822	
-0.00400315	-0.0747095	0.00921418	
-0.00383203	-0.0671219	0.00864808	
-0.00368738	-0.0603975	0.00811059	
